10-Jun-2024 10:23:31.534 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
10-Jun-2024 10:23:31.534 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
10-Jun-2024 10:23:31.544 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 10:23:31.544 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:01:13.210 INFO [http-nio-8082-exec-13] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:01:13.211 INFO [http-nio-8082-exec-13] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:04:41.495 INFO [http-nio-8082-exec-22] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:04:41.496 INFO [http-nio-8082-exec-22] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:07:08.023 INFO [http-nio-8082-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:07:08.026 INFO [http-nio-8082-exec-31] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:11:33.755 INFO [http-nio-8082-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:11:33.758 INFO [http-nio-8082-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:26:18.485 INFO [http-nio-8082-exec-50] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:26:18.485 INFO [http-nio-8082-exec-50] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:27:37.019 INFO [http-nio-8082-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:27:37.020 INFO [http-nio-8082-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:34:30.466 INFO [http-nio-8082-exec-70] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:34:30.466 INFO [http-nio-8082-exec-70] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:40:15.876 INFO [http-nio-8082-exec-80] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:40:15.876 INFO [http-nio-8082-exec-80] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:42:27.244 INFO [http-nio-8082-exec-92] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:42:27.246 INFO [http-nio-8082-exec-92] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 11:53:48.383 INFO [http-nio-8082-exec-104] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 11:53:48.385 INFO [http-nio-8082-exec-104] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 12:41:26.072 INFO [http-nio-8082-exec-109] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 12:41:26.073 INFO [http-nio-8082-exec-109] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 12:43:16.331 INFO [http-nio-8082-exec-126] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 12:43:16.334 INFO [http-nio-8082-exec-126] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 12:50:33.960 INFO [http-nio-8082-exec-131] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 12:50:33.961 INFO [http-nio-8082-exec-131] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 13:28:55.353 INFO [http-nio-8082-exec-142] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 13:28:55.354 INFO [http-nio-8082-exec-142] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 13:32:41.691 INFO [http-nio-8082-exec-148] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 13:32:41.691 INFO [http-nio-8082-exec-148] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 14:11:48.977 INFO [http-nio-8082-exec-161] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 14:11:48.978 INFO [http-nio-8082-exec-161] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
10-Jun-2024 14:13:55.550 INFO [http-nio-8082-exec-170] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
10-Jun-2024 14:13:55.559 INFO [http-nio-8082-exec-170] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to /Users/jaimebermejo/IdeaProjects/BermeCarWeb/apache-tomcat-9.0.87/webapps/bermecars.war.tmp
